continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age
Asia,Bachelor's,N,N,1164,Midwest,26690.05,Year,Y,0,18
Europe,Bachelor's,Y,N,1560,West,128514.42,Year,Y,0,36
Europe,Master's,N,N,1179,Midwest,83934.65,Week,Y,0,19
North America,Bachelor's,Y,N,1460,Northeast,33696.56,Year,Y,0,11
Asia,Bachelor's,Y,N,2194,Northeast,145451.04,Year,Y,0,9
Europe,High School,Y,N,2804,West,61488.43,Year,Y,1,184
Asia,High School,Y,N,1189,Northeast,508.8883,Hour,Y,1,24
Asia,Master's,Y,N,2343,South,2647.81,Year,Y,0,37
North America,Master's,N,N,4100,West,195956.75,Year,N,0,175
Africa,Master's,N,N,156,Northeast,97764.74,Year,Y,0,9
Asia,Bachelor's,Y,N,2019,Northeast,36822.17,Year,Y,0,95
Asia,Bachelor's,Y,N,4391,Northeast,101424.46,Year,Y,0,20
North America,Doctorate,N,N,468,West,51730.55,Year,Y,0,68
Europe,Bachelor's,Y,N,1152,South,49941.93,Year,Y,1,10
Europe,Doctorate,N,N,1124,West,24667.76,Year,Y,0,116
Asia,Bachelor's,N,N,3428,Northeast,22628.53,Year,Y,1,39
Europe,Master's,Y,Y,2067,South,65945.6,Year,Y,0,17
Asia,Master's,Y,N,1086,South,121922.26,Year,N,0,103
Asia,Master's,Y,N,1054,Midwest,59160.3,Year,Y,0,138
Asia,Master's,Y,N,2632,Midwest,68463.9,Year,N,0,17
Asia,Bachelor's,Y,N,3754,South,17.519,Hour,Y,0,60
Europe,Doctorate,N,N,1701,West,60059.97,Year,Y,0,20
Asia,Master's,N,Y,2261,Northeast,191992.04,Year,Y,1,38
North America,Master's,Y,N,978,South,30544.68,Year,Y,0,13
Asia,Master's,Y,N,144576,Northeast,55493.82,Year,Y,0,37
Africa,Master's,N,N,34136,West,38035.33,Year,N,0,38
Asia,Master's,Y,N,2939,Midwest,76704.66,Year,Y,0,18
North America,Master's,Y,N,4566,Northeast,34951.03,Year,Y,0,168
Asia,High School,Y,N,138,West,92752.13,Year,Y,1,46
South America,Bachelor's,N,Y,1239,Northeast,42686.38,Year,Y,0,22
Asia,Bachelor's,N,N,361,Midwest,185691.71,Year,Y,0,27
Asia,Bachelor's,Y,N,2828,Northeast,103844.79,Year,Y,1,20
Asia,Doctorate,Y,N,6042,Northeast,69139.87,Year,Y,0,19
Asia,Bachelor's,N,N,610,Northeast,590.5765,Hour,Y,1,20
Asia,Master's,Y,N,2279,Midwest,17993.38,Year,Y,0,34
Asia,High School,Y,N,517884,South,108936.22,Year,Y,1,44
Asia,Bachelor's,Y,N,2879,Midwest,134983.05,Year,Y,0,60
Asia,Bachelor's,N,N,1797,Northeast,249.9158,Hour,Y,1,31
North America,Bachelor's,N,N,3217,Northeast,47940.75,Year,Y,1,44
Asia,Bachelor's,Y,N,310,West,50482.43,Year,Y,1,35
South America,Master's,N,Y,2609,West,53485.04,Year,Y,1,18
Asia,High School,Y,N,5226,Northeast,99019.21,Year,Y,1,11
Asia,Master's,Y,N,3704,Midwest,107465.64,Year,N,1,20
Asia,Master's,Y,N,101,Midwest,47744.45,Year,Y,0,34
Europe,Bachelor's,Y,N,1782,West,52701.9,Year,Y,0,171
Asia,Bachelor's,N,N,1314,West,126992.77,Year,Y,0,15
Europe,Doctorate,N,N,941,Northeast,71020.5,Year,Y,0,97
Oceania,Bachelor's,Y,N,2030,Midwest,21672.7,Year,Y,0,16
Asia,Bachelor's,N,N,2538,Northeast,99745.33,Year,Y,0,184
North America,Bachelor's,Y,N,1367,West,28813.83,Year,Y,0,37
Europe,Master's,Y,Y,31,Northeast,55957.34,Year,Y,0,24
Asia,High School,N,N,1549,Northeast,330.9405,Hour,N,1,22
Europe,Bachelor's,Y,N,4458,West,29289.56,Year,Y,0,46
Europe,High School,Y,N,1272,West,36504.7,Year,Y,1,13
Asia,Master's,Y,N,601,Midwest,87628.76,Week,Y,0,25
Europe,Bachelor's,N,N,108074,Northeast,41580.5,Year,Y,0,27
Asia,Doctorate,Y,N,1844,Midwest,122159.88,Year,Y,0,10
Asia,High School,N,N,1655,Northeast,538.9966,Hour,Y,1,7
Asia,Bachelor's,N,N,3365,Northeast,36140.17,Year,Y,0,19
Asia,Master's,Y,N,5624,Northeast,73889.0,Year,Y,0,27
Asia,Master's,Y,N,854,Northeast,109769.32,Year,Y,0,10
Asia,High School,Y,N,754,South,44593.86,Year,Y,1,33
Asia,High School,Y,N,1617,Midwest,159506.49,Year,Y,0,28
Europe,High School,Y,N,28,South,29387.85,Year,Y,0,155
Asia,Master's,N,N,1981,West,61865.65,Year,Y,0,24
North America,Doctorate,N,Y,1096,South,50316.73,Year,Y,0,168
Asia,Bachelor's,N,N,412,Northeast,87887.68,Year,Y,1,14
Asia,Master's,N,N,263,Midwest,92848.49,Year,Y,0,29
Asia,Bachelor's,N,Y,3845,South,133631.87,Year,Y,1,28
Europe,High School,Y,Y,1044,Northeast,28571.32,Year,Y,1,148
Asia,Master's,Y,N,1481,West,67559.9,Year,Y,1,16
Europe,Master's,N,N,1080,Northeast,74799.0,Year,Y,0,34
Asia,Bachelor's,Y,N,416,Northeast,543.7175,Hour,Y,1,47
Europe,Master's,N,Y,564,Midwest,99307.89,Year,Y,0,43
Asia,Bachelor's,N,N,4450,West,64968.42,Year,Y,1,19
Asia,Master's,Y,N,582,South,225.4865,Hour,Y,0,50
Europe,High School,Y,N,3296,South,17075.36,Year,Y,0,29
Oceania,Master's,N,N,3126,South,24.4888,Hour,Y,1,11
Africa,Master's,Y,N,851,South,20239.6,Year,Y,0,15
Asia,Doctorate,Y,N,1748,Northeast,9659.52,Year,Y,0,25
Asia,Bachelor's,N,Y,519,South,142311.74,Year,Y,1,30
Asia,Master's,Y,N,1921,South,96789.15,Year,Y,0,17
Asia,Master's,N,N,2125,West,115782.91,Year,Y,0,19
Asia,Bachelor's,Y,N,579,South,41470.34,Year,Y,0,46
Asia,Bachelor's,Y,N,2746,Northeast,77072.04,Year,Y,0,24
Africa,Master's,N,N,2439,Northeast,127868.01,Year,Y,0,25
North America,Master's,N,N,720,Midwest,133530.75,Year,Y,0,19
Asia,Bachelor's,Y,N,3777,West,11863.43,Year,Y,0,77
North America,Master's,Y,N,2010,Northeast,72965.22,Year,Y,0,47
Asia,Master's,Y,N,527,Midwest,140753.74,Year,Y,0,13
Asia,Bachelor's,Y,N,3194,Northeast,60333.82,Year,Y,0,79
North America,Master's,N,N,3765,Northeast,38654.37,Year,Y,1,21
Asia,Master's,N,N,1997,Northeast,97603.99,Year,Y,1,28
North America,Bachelor's,Y,N,313,Northeast,14292.34,Year,Y,0,19
Europe,Doctorate,Y,Y,2504,South,205508.95,Year,Y,0,23
Asia,Bachelor's,Y,N,764,Midwest,46064.58,Year,Y,0,115
North America,Master's,Y,N,1998,South,81156.73,Year,N,0,33
Asia,Bachelor's,Y,N,4417,South,29836.17,Year,Y,1,25
South America,Master's,Y,N,881,West,98341.47,Year,Y,1,46
North America,Bachelor's,N,N,3574,West,80366.28,Year,Y,0,12
Asia,Master's,N,N,2690,South,33614.19,Year,Y,1,29
Asia,Bachelor's,N,N,3209,Northeast,137179.34,Year,Y,1,22
North America,Doctorate,N,N,118,West,50606.42,Year,Y,0,18
Europe,Master's,Y,Y,4035,Northeast,41360.5,Year,Y,0,25
Asia,Doctorate,Y,N,1593,West,83296.49,Year,Y,0,14
Asia,Master's,Y,N,5644,West,23635.17,Year,Y,0,20
Europe,Master's,Y,N,1045,West,73663.12,Year,Y,0,25
Asia,Bachelor's,Y,N,462,Northeast,102344.2,Year,Y,0,11
Asia,Bachelor's,Y,N,18629,West,67630.12,Year,N,0,18
Asia,Bachelor's,N,N,2548,Northeast,19400.7,Year,Y,1,16
North America,Master's,Y,N,4655,West,29808.92,Year,Y,0,20
Europe,Master's,Y,N,2326,Midwest,78321.5,Year,Y,0,20
Asia,Master's,N,N,2297,South,182.58,Hour,Y,0,206
North America,Bachelor's,Y,N,668,Northeast,52095.48,Year,N,0,16
Europe,Bachelor's,N,N,1272,West,317.7013,Hour,Y,1,124
Asia,Master's,Y,N,1757,Northeast,149640.44,Year,N,0,22
North America,Bachelor's,Y,N,4065,Midwest,23712.22,Year,Y,0,22
Asia,Doctorate,Y,N,3300,South,18203.9,Year,Y,0,48
Asia,Master's,Y,N,4929,South,60676.5,Year,Y,0,17
Asia,Master's,Y,N,14858,Northeast,33892.86,Year,N,0,12
Asia,Master's,Y,N,3101,Midwest,208822.63,Year,Y,0,21
Asia,Bachelor's,Y,N,2308,South,98097.94,Year,Y,0,17
Asia,Master's,Y,N,5863,Northeast,170011.67,Year,Y,0,32
Asia,Master's,Y,N,3914,Midwest,32104.03,Year,Y,0,18
Asia,Master's,Y,N,4272,Northeast,25530.69,Year,Y,0,38
Asia,High School,Y,N,86699,Northeast,116078.3,Year,Y,1,24
Asia,Master's,N,N,3737,West,95738.34,Year,Y,1,26
Europe,Bachelor's,Y,N,3867,West,11056.41,Year,Y,1,18
Europe,High School,Y,N,2837,Northeast,6816.23,Year,Y,1,131
Europe,Master's,N,N,1279,West,7790.32,Year,Y,0,21
North America,Bachelor's,Y,N,4750,West,29927.15,Year,Y,1,18
Asia,Master's,Y,N,2107,Northeast,92931.53,Year,Y,0,18
Europe,Doctorate,Y,N,1688,West,159301.53,Year,Y,0,19
Asia,Master's,Y,N,2095,Northeast,68699.86,Year,N,0,125
Asia,Bachelor's,N,N,1385,South,85340.66,Year,Y,1,164
Asia,Master's,N,N,3717,Midwest,41003.63,Year,Y,0,27
Asia,Master's,Y,N,2370,West,77165.99,Year,Y,0,13
Asia,Master's,N,N,1717,South,109.06,Hour,Y,1,54
Asia,High School,Y,N,5223,South,79263.12,Year,Y,0,26
Asia,Master's,N,Y,1792,Northeast,143437.65,Year,Y,1,25
Asia,Master's,N,Y,2742,South,114764.06,Year,Y,1,18
Asia,Bachelor's,Y,N,370,Midwest,84443.78,Year,Y,1,23
Asia,Bachelor's,Y,N,3576,Northeast,77756.03,Year,Y,1,11
Asia,Bachelor's,Y,N,2621,Northeast,53866.65,Year,Y,1,21
Asia,Bachelor's,N,Y,1235,Northeast,43231.47,Year,Y,1,23
Asia,Bachelor's,N,N,2660,South,264.5998,Hour,Y,0,23
Asia,Bachelor's,Y,N,2890,South,18754.88,Year,Y,0,39
Europe,Doctorate,Y,Y,5215,West,95424.13,Year,Y,0,12
Europe,Master's,Y,Y,2423,South,25198.97,Year,Y,1,11
North America,Bachelor's,Y,N,2016,South,105.3209,Hour,Y,0,31
Asia,Master's,Y,N,1340,South,90391.64,Year,Y,0,26
Asia,Bachelor's,N,Y,4500,South,45382.24,Year,Y,0,18
Asia,Master's,Y,N,2305,West,33598.68,Year,Y,0,13
Europe,Bachelor's,Y,N,2597,Northeast,45509.25,Year,Y,0,76
Asia,Master's,N,N,766,South,123706.67,Year,Y,1,50
Africa,Master's,Y,N,2613,Midwest,129698.52,Year,Y,0,24
Asia,Bachelor's,Y,N,1088,Midwest,119423.4,Year,N,0,14
Asia,Master's,Y,N,2151,Midwest,273025.14,Year,Y,0,27
North America,Doctorate,Y,N,4462,Northeast,90979.75,Year,Y,1,36
Asia,Doctorate,Y,N,3266,West,142128.23,Year,Y,0,32
Asia,High School,Y,N,5130,Northeast,13997.91,Year,Y,0,35
South America,Master's,Y,N,27957,Northeast,49083.36,Year,Y,1,46
Asia,Master's,N,N,1369,Midwest,88318.4,Year,Y,1,17
Asia,Bachelor's,N,Y,2064,Northeast,128946.06,Year,Y,1,15
North America,Master's,N,N,1164,Northeast,85785.07,Year,Y,0,17
North America,Master's,Y,N,1469,South,27978.08,Year,Y,0,42
Asia,Doctorate,Y,N,996,West,35751.12,Year,Y,0,33
Asia,Bachelor's,N,N,558,Northeast,88265.92,Year,Y,1,24
Europe,Master's,Y,N,796,West,125481.66,Year,Y,0,117
Asia,Master's,Y,N,313,South,191578.46,Year,Y,0,149
Asia,Master's,N,Y,4554,West,109782.9,Year,Y,0,15
North America,Bachelor's,N,N,1456,South,111813.72,Year,N,1,14
Asia,Bachelor's,Y,N,2378,West,55999.63,Year,Y,1,20
Asia,Bachelor's,Y,N,3992,South,94583.36,Year,Y,0,56
Asia,High School,Y,N,1723,South,28301.07,Year,Y,1,55
Asia,Bachelor's,Y,N,875,Midwest,74411.63,Year,Y,0,39
Asia,Master's,N,N,2131,Midwest,208307.6,Year,Y,0,18
Asia,Doctorate,Y,N,1985,Northeast,71734.66,Year,Y,0,175
Asia,Doctorate,N,Y,86,South,47116.64,Year,Y,0,23
Asia,Bachelor's,Y,Y,1598,Island,142808.7,Year,Y,0,16
Asia,High School,N,N,12766,Midwest,75635.89,Year,N,0,17
Oceania,High School,Y,N,2477,West,73542.33,Year,Y,0,13
Asia,Bachelor's,N,N,318,Midwest,96766.47,Year,Y,0,164
North America,Master's,Y,N,2089,Northeast,27729.43,Year,Y,0,9
Asia,Bachelor's,N,N,2203,Midwest,132574.3,Year,N,0,24
Asia,Master's,Y,N,44013,Midwest,107149.68,Year,Y,0,24
Asia,Bachelor's,Y,N,2332,Northeast,124235.53,Year,Y,0,22
Asia,Master's,N,N,834,Northeast,104397.09,Year,N,0,167
Asia,Bachelor's,N,N,170,West,59154.8,Year,Y,0,48
Asia,Bachelor's,Y,N,2203,West,439.6214,Hour,Y,1,17
Asia,Bachelor's,N,N,746,South,115.12,Hour,Y,1,12
Europe,Bachelor's,Y,N,1950,Midwest,31538.0,Year,Y,1,18
Asia,Master's,Y,N,252121,Northeast,118229.08,Year,Y,0,16
Asia,High School,Y,N,603,South,45833.71,Year,Y,0,13
Europe,High School,N,N,1010,West,27345.68,Year,Y,1,16
Europe,Doctorate,Y,N,918,Northeast,50714.64,Year,Y,0,18
Asia,Bachelor's,Y,N,1948,Midwest,247525.17,Year,Y,0,18
Asia,High School,Y,N,2598,Midwest,80671.62,Year,Y,0,17
Europe,Master's,N,N,341,Northeast,35953.69,Year,Y,0,11
Asia,Master's,Y,N,4377,South,91823.17,Year,Y,0,25
Europe,Doctorate,Y,Y,1479,South,65129.81,Year,Y,0,17
North America,Master's,Y,N,1962,Northeast,40616.29,Year,Y,1,16
North America,Bachelor's,Y,N,186,South,872.5932,Hour,Y,1,40
Asia,Master's,N,N,2869,Midwest,80778.53,Year,Y,0,26
North America,Master's,N,N,513,South,126875.34,Year,Y,0,16
North America,Master's,Y,N,1633,West,207.1684,Hour,Y,0,12
Europe,Bachelor's,Y,N,3237,South,59869.04,Year,Y,0,206
Asia,High School,Y,N,583,Midwest,161659.69,Year,Y,1,12
Asia,Bachelor's,Y,N,358,South,60190.73,Year,Y,0,65
Asia,Bachelor's,Y,N,3390,Northeast,95321.51,Year,Y,0,20
Asia,Master's,N,N,816,South,168100.14,Year,Y,1,30
Asia,Master's,Y,N,1136,Midwest,940.4745,Hour,Y,0,13
Asia,High School,Y,N,3842,Northeast,73817.24,Year,Y,1,19
Asia,Bachelor's,Y,N,4258,West,40926.81,Year,Y,0,15
Asia,Master's,N,N,619,South,45860.26,Year,Y,0,49
Europe,Doctorate,Y,N,2983,West,42160.9,Year,Y,0,17
Asia,Master's,Y,N,2724,Midwest,16285.97,Year,Y,0,10
Asia,Master's,N,N,2918,South,43275.78,Year,Y,1,18
Asia,Bachelor's,Y,Y,2131,West,48418.01,Year,Y,0,43
Asia,Master's,N,N,467,West,63623.46,Year,Y,1,16
Asia,Bachelor's,Y,N,1815,Northeast,85808.76,Year,Y,0,46
South America,High School,N,N,337,South,145.1134,Hour,Y,1,134
Asia,Bachelor's,Y,N,4707,West,50826.91,Year,Y,0,16
Europe,Bachelor's,Y,N,5394,South,53809.81,Year,Y,0,22
South America,High School,Y,N,2189,Midwest,148772.46,Week,Y,0,28
Asia,Bachelor's,Y,N,508,South,102219.15,Year,Y,0,100
Europe,Master's,N,N,3025,Midwest,90563.82,Year,Y,0,44
Europe,Master's,N,N,1539,Midwest,97914.14,Year,Y,1,29
Asia,Master's,N,N,2178,Northeast,63727.71,Year,Y,1,24
North America,Bachelor's,N,N,2678,Northeast,953.4778,Hour,N,1,42
North America,Bachelor's,N,N,967,South,87121.96,Year,Y,1,219
Asia,High School,Y,N,2524,Northeast,89344.1,Year,Y,1,8
Asia,Bachelor's,N,Y,2049,South,15868.6,Year,Y,1,20
Europe,Bachelor's,N,N,2157,West,27027.46,Year,Y,0,13
Asia,Master's,Y,N,4500,West,44082.94,Year,Y,0,30
South America,Master's,N,Y,661,West,1919.38,Year,Y,1,22
Asia,High School,N,Y,3399,South,63480.29,Year,N,1,82
Europe,Bachelor's,N,Y,1003,Northeast,48428.17,Year,Y,0,26
Asia,Master's,Y,N,961,Midwest,166924.14,Year,Y,0,12
Asia,Master's,Y,N,295,South,103992.65,Year,N,0,168
Asia,Bachelor's,N,N,3830,West,123049.88,Year,Y,1,38
Asia,Bachelor's,Y,N,3424,West,109689.36,Year,Y,1,14
Asia,Master's,N,N,1428,West,597.273,Hour,Y,1,30
Africa,Master's,N,N,5432,Northeast,77179.1,Year,Y,0,39
Asia,Bachelor's,N,Y,2440,Midwest,131126.46,Year,N,1,13
Asia,Master's,N,N,2206,Northeast,109169.86,Year,N,1,26
Asia,Master's,Y,N,1741,Midwest,117979.93,Year,N,0,42
Asia,Bachelor's,N,N,25158,Midwest,146954.81,Year,Y,1,17
North America,High School,N,N,1062,Midwest,124883.71,Year,Y,1,22
Europe,Doctorate,Y,N,731,West,29309.97,Year,Y,0,18
South America,Bachelor's,N,N,2675,Northeast,46.5932,Hour,Y,1,46
Europe,High School,N,Y,1842,South,104693.39,Year,Y,1,111
Asia,Master's,Y,N,4033,South,126622.47,Year,Y,0,13
Asia,Bachelor's,Y,N,924,South,23611.89,Year,Y,0,19
Asia,Master's,Y,N,3677,South,73829.95,Year,N,0,10
Asia,Master's,Y,N,3109,Midwest,62461.41,Year,Y,0,43
Asia,Bachelor's,N,N,169,Northeast,127.1379,Hour,Y,1,46
Asia,Master's,N,N,279,Northeast,127904.94,Year,N,1,34
Asia,Doctorate,Y,N,4015,South,8593.05,Year,Y,0,53
Europe,Doctorate,Y,Y,280,South,49609.0,Year,Y,1,44
Asia,Master's,Y,N,2604,South,30952.8,Year,Y,0,36
Asia,Bachelor's,N,N,1833,Midwest,75471.74,Year,Y,0,15
Asia,Bachelor's,Y,N,5877,West,150646.84,Year,Y,0,10
Asia,Master's,N,N,5190,South,100826.54,Year,Y,0,10
Asia,Master's,Y,N,4028,Northeast,52214.04,Year,Y,0,20
Europe,High School,N,N,3715,South,12186.69,Year,Y,0,54
Asia,Bachelor's,N,Y,2334,West,82768.11,Year,Y,0,15
North America,Bachelor's,Y,N,796,West,89542.27,Year,Y,0,44
North America,Bachelor's,Y,N,508,West,72072.26,Year,Y,0,34
Europe,Master's,Y,N,2818,West,74963.35,Year,Y,0,29
Asia,Doctorate,Y,N,108724,South,33361.33,Year,Y,0,19
North America,Master's,N,N,112,Northeast,233.7907,Hour,Y,1,184
Asia,Bachelor's,Y,N,3399,Midwest,71044.14,Year,Y,1,16
Asia,Bachelor's,Y,N,3229,South,68647.07,Year,Y,1,25
Asia,Bachelor's,Y,N,2581,Midwest,99064.63,Year,Y,0,49
Asia,Master's,Y,N,2351,South,150434.63,Year,Y,0,28
Europe,Master's,Y,N,1089,South,45243.0,Year,Y,0,14
Asia,Bachelor's,N,N,449,West,133675.89,Year,Y,1,63
Asia,Doctorate,Y,N,132,Midwest,31732.61,Year,Y,0,24
Asia,Master's,N,N,1186,South,95389.41,Year,Y,0,25
Asia,High School,Y,N,395,Northeast,141680.27,Year,Y,1,18
Asia,Bachelor's,N,N,863,West,28045.85,Year,Y,0,15
Asia,Bachelor's,N,N,856,West,71949.34,Year,Y,1,18
Asia,Bachelor's,Y,N,5577,West,160323.84,Year,Y,0,16
Asia,Master's,Y,N,619,South,62699.28,Year,N,0,24
Asia,High School,Y,N,2135,West,60525.63,Year,Y,0,13
North America,Master's,Y,Y,1519,Northeast,35765.97,Year,Y,0,11
Europe,Bachelor's,Y,N,5576,Northeast,44396.01,Year,Y,0,115
Asia,Bachelor's,Y,N,5239,Northeast,84506.77,Year,Y,0,20
Asia,Master's,N,N,1821,South,140656.45,Year,Y,0,12
North America,Bachelor's,Y,N,970,West,80373.13,Year,Y,0,37
Asia,Master's,N,N,3028,South,235224.73,Year,N,0,23
Asia,Bachelor's,N,Y,12587,Northeast,19001.91,Year,Y,0,33
Asia,Master's,Y,N,4859,West,38483.91,Year,Y,0,26
Asia,Master's,Y,N,88751,Northeast,73001.22,Year,Y,0,55
Asia,Bachelor's,N,N,1166,West,105408.45,Year,Y,0,19
North America,Master's,Y,N,1267,Northeast,123640.01,Year,Y,0,17
Asia,Bachelor's,Y,N,2251,Northeast,80413.78,Year,Y,1,24
Asia,Bachelor's,N,Y,1248,South,67277.93,Year,Y,0,13
North America,Bachelor's,Y,N,1455,Northeast,78181.56,Year,N,1,55
Asia,Bachelor's,N,N,4074,Midwest,18377.34,Year,Y,0,24
Asia,Bachelor's,Y,N,19591,South,107293.44,Year,Y,0,138
Asia,High School,Y,N,2524,West,84130.53,Year,Y,1,77
Asia,Bachelor's,N,N,1491,South,948.0337,Hour,Y,1,22
Asia,Bachelor's,Y,N,101335,West,57314.69,Year,Y,0,25
Asia,Master's,N,N,1809,West,141.72,Hour,Y,1,22
Asia,Bachelor's,Y,N,1591,Northeast,103304.99,Year,Y,0,22
Asia,Bachelor's,Y,N,2778,Northeast,78189.56,Year,Y,1,23
Asia,Master's,Y,N,503,Midwest,187140.67,Year,Y,0,13
Asia,High School,Y,N,848,Northeast,2450.22,Year,Y,0,34
North America,Master's,N,N,3097,South,921.932,Hour,Y,1,16
Asia,Bachelor's,Y,N,916,Midwest,139824.33,Year,Y,0,14
Asia,Master's,Y,N,3642,Northeast,49357.25,Year,Y,0,27
Asia,Bachelor's,N,N,2871,South,198982.95,Year,Y,1,18
Asia,Master's,N,Y,866,Northeast,112215.82,Year,Y,0,65
Europe,Bachelor's,N,N,1935,South,92757.53,Year,Y,0,23
Europe,Master's,Y,N,2100,South,71761.36,Year,N,0,44
Asia,Master's,N,N,-11,Midwest,167851.8,Year,Y,0,23
Asia,Bachelor's,N,N,3719,West,109359.52,Year,Y,0,26
Europe,Master's,N,N,2703,Midwest,87947.06,Year,Y,0,17
Asia,Bachelor's,N,Y,14728,South,91970.92,Year,Y,1,24
Asia,Master's,Y,N,3127,Midwest,24033.7,Year,Y,0,31
Asia,Bachelor's,Y,N,1693,West,3546.21,Year,Y,0,46
Asia,Bachelor's,N,N,257,South,70578.45,Year,Y,1,26
Asia,Master's,N,N,957,Northeast,537.2994,Hour,Y,1,13
Asia,Bachelor's,N,N,2408,Northeast,72749.02,Year,N,1,150
Europe,Doctorate,Y,Y,6543,West,60283.18,Year,Y,0,68
North America,Bachelor's,N,N,4096,West,448.3287,Hour,Y,1,115
Asia,Master's,N,N,827,Northeast,138971.08,Year,Y,1,14
Asia,Bachelor's,Y,N,1531,South,571.9348,Hour,Y,0,52
Asia,Bachelor's,Y,N,2504,West,65164.57,Year,Y,0,22
Asia,Master's,Y,N,17143,South,21226.8,Year,Y,0,37
Asia,Master's,N,N,1373,Northeast,72425.39,Year,Y,0,11
Asia,Bachelor's,Y,N,1617,Northeast,139105.11,Year,Y,1,72
Asia,Bachelor's,Y,N,2466,South,69831.14,Year,Y,1,22
South America,Bachelor's,Y,Y,2396,Midwest,100850.77,Year,Y,0,16
Asia,Bachelor's,Y,Y,2565,South,100830.21,Year,Y,0,27
Europe,Master's,N,N,2768,Northeast,78305.1,Year,Y,0,29
Asia,Bachelor's,N,Y,66319,Northeast,146925.37,Year,Y,1,16
Asia,Bachelor's,Y,N,3282,Midwest,97698.65,Year,Y,1,36
Asia,Master's,Y,N,1222,Northeast,18071.67,Year,Y,0,16
Asia,Bachelor's,Y,N,162,Northeast,68495.2,Year,Y,1,14
Asia,Master's,Y,N,83839,West,89260.33,Year,Y,0,49
Asia,Master's,Y,N,188650,South,64787.51,Year,Y,0,46
North America,Bachelor's,N,N,1905,South,62561.71,Year,N,0,11
North America,Bachelor's,Y,N,2259,South,24481.12,Year,Y,1,22
North America,Master's,N,N,2091,Midwest,74868.2,Year,N,0,24
Asia,High School,N,Y,1459,West,191628.84,Year,Y,0,24
Asia,Bachelor's,Y,N,883,Northeast,21894.51,Year,Y,0,13
Asia,Master's,Y,N,4859,Northeast,97454.05,Year,Y,0,64
Asia,Bachelor's,N,N,17337,South,34707.81,Year,Y,0,17
Asia,Bachelor's,Y,N,2727,Northeast,114897.51,Year,Y,0,22
Oceania,Doctorate,Y,N,1481,Northeast,132818.8,Year,Y,0,37
Asia,Master's,Y,N,2192,Midwest,127325.21,Year,Y,0,16
Asia,Master's,Y,N,1751,Island,152281.71,Year,Y,0,16
Asia,Doctorate,N,Y,5349,South,25784.6,Year,Y,0,32
Asia,Bachelor's,Y,N,3211,Northeast,242673.44,Year,Y,0,21
Asia,Master's,N,Y,666,West,46090.11,Year,Y,1,9
Asia,Bachelor's,Y,N,4497,West,40585.26,Year,N,0,115
Asia,Bachelor's,N,N,196,Northeast,33350.16,Year,Y,1,44
Asia,High School,N,N,788,Northeast,88402.64,Year,N,1,11
Asia,Doctorate,Y,N,48469,Northeast,242507.42,Year,Y,1,47
Asia,Master's,Y,N,4766,West,126225.3,Year,Y,0,22
Asia,Master's,Y,Y,2022,Northeast,151306.19,Year,Y,0,33
South America,Bachelor's,Y,N,1799,Northeast,112725.19,Year,Y,0,58
Asia,Bachelor's,N,N,354,West,65529.45,Year,Y,0,24
Asia,Bachelor's,Y,Y,1251,West,100056.86,Year,Y,0,84
Asia,Master's,Y,N,1192,South,75267.4,Year,Y,0,13
Asia,Master's,Y,N,1210,Northeast,115444.84,Year,Y,0,10
Asia,Bachelor's,N,N,225,Midwest,94724.78,Year,Y,1,185
Asia,Bachelor's,N,Y,4871,Northeast,76118.76,Year,Y,1,23
Asia,Master's,N,N,2994,South,114404.04,Year,N,0,18
South America,Master's,N,Y,2938,South,154697.95,Year,Y,0,12
Asia,Bachelor's,Y,N,3758,Northeast,13686.44,Year,Y,0,13
Asia,Master's,N,N,587,South,97534.67,Year,Y,0,46
Asia,Bachelor's,N,N,2249,West,85303.62,Year,Y,1,175
Asia,High School,N,N,306,Northeast,131697.64,Year,Y,1,19
Asia,Bachelor's,N,Y,198,Northeast,92203.62,Year,Y,1,98
Europe,Master's,N,Y,4680,West,9723.73,Year,Y,0,13
Asia,Bachelor's,Y,N,1368,Midwest,56448.74,Year,Y,0,55
Asia,Bachelor's,Y,N,19,Northeast,8933.57,Year,Y,1,16
Asia,High School,Y,N,17952,Northeast,99985.23,Year,Y,1,205
Asia,Master's,N,N,1177,South,102829.4,Year,Y,1,82
Europe,Master's,Y,N,1980,Midwest,94755.41,Year,Y,0,19
South America,Doctorate,N,N,3138,South,894.023,Hour,Y,1,39
Asia,Bachelor's,Y,N,609,West,64920.22,Year,Y,0,23
Asia,Master's,N,N,852,Midwest,86573.9,Year,Y,1,46
Asia,Bachelor's,Y,N,1285,West,509.5368,Hour,Y,1,28
Asia,Bachelor's,Y,N,3682,West,27329.0,Year,Y,0,17
Asia,Bachelor's,Y,N,73,South,73838.21,Year,Y,0,10
Asia,Master's,N,N,3711,Northeast,72925.13,Year,Y,1,13
Asia,Master's,N,N,244,South,71518.97,Year,Y,1,25
Asia,Bachelor's,Y,N,1111,Midwest,235694.88,Year,Y,0,47
Asia,Bachelor's,N,N,75,Northeast,103417.74,Year,Y,1,18
Asia,Bachelor's,Y,N,1143,Midwest,27303.7,Year,Y,0,168
Asia,Bachelor's,Y,Y,1829,Northeast,89538.56,Year,Y,0,31
